SRA_RUN	GROUP	QUAL	GENE
SRR24205998	C_2_70	219.417	nusG
SRR24205999	C_2_70	225.417	nusG
SRR24206000	C_2_70	225.417	nusG
SRR24206001	C_2_70	225.417	nusG
SRR24206002	C_2_70	225.417	nusG
SRR24205976	C_6_70	225.417	nusG
SRR24205977	C_6_70	225.417	nusG
SRR24205978	C_6_70	225.417	nusG
SRR24205979	C_6_70	225.417	nusG
SRR24205980	C_6_70	225.417	nusG
SRR24205973	HA_1_70	225.417	rpoB
SRR24205984	HA_1_70	209.417	rpoB
SRR24205995	HA_1_70	225.417	rpoB
SRR24206006	HA_1_70	225.417	rpoB
SRR24206017	HA_1_70	225.417	rpoB
SRR24206028	HA_1_70	225.417	rpoB
SRR24206039	HA_1_70	196.416	rpoB
SRR24206050	HA_1_70	225.417	rpoB
SRR24206064	HA_1_70	225.417	rpoB
SRR24206065	HA_1_70	225.417	rpoB
SRR24206019	HA_5_70	225.417	rpoB
SRR24206020	HA_5_70	211.417	rpoB
SRR24206021	HA_5_70	215.417	rpoB
SRR24206022	HA_5_70	225.417	rpoB
SRR24206023	HA_5_70	225.417	rpoB
SRR24206024	HA_5_70	225.417	rpoB
SRR24206025	HA_5_70	225.417	rpoB
SRR24206026	HA_5_70	225.417	rpoB
SRR24206027	HA_5_70	225.417	rpoB
SRR24206029	HA_5_70	178.416	rpoB
SRR24205981	C_5_70	225.417	rpoB
SRR24205982	C_5_70	225.417	rpoB
SRR24205983	C_5_70	197.416	rpoB
SRR24205985	C_5_70	225.417	rpoB
SRR24205986	C_5_70	225.417	rpoB
SRR24205981	C_5_70	225.417	rpsJ
SRR24205982	C_5_70	180.416	rpsJ
SRR24205983	C_5_70	118.415	rpsJ
SRR24205985	C_5_70	225.417	rpsJ
SRR24205986	C_5_70	225.417	rpsJ
SRR24206041	HA_3_70	190.416	rimK
SRR24206042	HA_3_70	225.417	rimK
SRR24206043	HA_3_70	225.417	rimK
SRR24206044	HA_3_70	92.4151	rimK
SRR24206045	HA_3_70	225.417	rimK
SRR24206046	HA_3_70	225.417	rimK
SRR24206047	HA_3_70	225.417	rimK
SRR24206048	HA_3_70	225.417	rimK
SRR24206049	HA_3_70	225.417	rimK
SRR24206051	HA_3_70	196.416	rimK
SRR24206041	HA_3_70	225.417	A9F03_RS02990
SRR24206042	HA_3_70	225.417	A9F03_RS02990
SRR24206043	HA_3_70	225.417	A9F03_RS02990
SRR24206044	HA_3_70	223.417	A9F03_RS02990
SRR24206045	HA_3_70	219.417	A9F03_RS02990
SRR24206046	HA_3_70	225.417	A9F03_RS02990
SRR24206047	HA_3_70	157.416	A9F03_RS02990
SRR24206048	HA_3_70	225.421	A9F03_RS02990
SRR24206049	HA_3_70	225.417	A9F03_RS02990
SRR24206051	HA_3_70	225.417	A9F03_RS02990
SRR24206019	HA_5_70	118.415	A9F03_RS02975
SRR24206020	HA_5_70	37.4152	A9F03_RS02975
SRR24206021	HA_5_70	187.416	A9F03_RS02975
SRR24206022	HA_5_70	155.416	A9F03_RS02975
SRR24206023	HA_5_70	68.4148	A9F03_RS02975
SRR24206024	HA_5_70	151.416	A9F03_RS02975
SRR24206025	HA_5_70	155.416	A9F03_RS02975
SRR24206026	HA_5_70	17.4923	A9F03_RS02975
SRR24206027	HA_5_70	73.4149	A9F03_RS02975
SRR24206029	HA_5_70	111.415	A9F03_RS02975
SRR24206057	HA_2_70	140.416	A9F03_RS02975
SRR24206019	HA_5_70	123.415	A9F03_RS02975
SRR24206020	HA_5_70	37.4152	A9F03_RS02975
SRR24206021	HA_5_70	187.416	A9F03_RS02975
SRR24206022	HA_5_70	154.416	A9F03_RS02975
SRR24206023	HA_5_70	68.4148	A9F03_RS02975
SRR24206024	HA_5_70	123.415	A9F03_RS02975
SRR24206025	HA_5_70	170.416	A9F03_RS02975
SRR24206026	HA_5_70	17.4923	A9F03_RS02975
SRR24206027	HA_5_70	73.4149	A9F03_RS02975
SRR24206029	HA_5_70	111.415	A9F03_RS02975
SRR24206057	HA_2_70	140.416	A9F03_RS02975
SRR24206003	C_1_70	225.417	ettA
SRR24206004	C_1_70	177.416	ettA
SRR24206005	C_1_70	225.417	ettA
SRR24206007	C_1_70	191.416	ettA
SRR24206008	C_1_70	225.417	ettA
SRR24205992	C_3_70	225.417	ettA
SRR24205993	C_3_70	225.417	ettA
SRR24205994	C_3_70	104.415	ettA
SRR24205996	C_3_70	225.417	ettA
SRR24205997	C_3_70	225.417	ettA
SRR24205963	HA_2_30	225.422	mreC
